"","INSTNM","Total","crime"
"5979","Divine Crown Academy of Cosmetology",40,0
"5980","Delta College of Arts & Technology-Lafayette Campus",169,0
"5981","Delta College-Slidell Campus",129,0
"5982","Integrity College of Health",81,0
"5983","Electrical Training Center",114,0
"5984","Alexander Paul Institute of Hair Design",46,1
"5985","California Technical Academy",662,0
"5986","More Tech Institute",75,0
"5987","Dorsey Business Schools-Dearborn",314,0
"5988","NeeCee's College of Cosmetology",75,0
"5989","Bella Cosmetology College",73,0
"5990","Franklin Hair Academy School of Cosmetology",8,0
"5991","Sutter Beauty College",67,1
"5992","New Horizons Medical Institute",171,0
"5993","Ohio Institute of Allied Health",48,0
"5994","Paul Mitchell the School-Ardmore",36,0
"5995","Access Careers",47,0
"5996","River Valley Cosmetology Institute",37,0
"5997","Luckes Beauty Academy LLC",32,0
"5998","Total Transformation Institute of Cosmetology",42,0
"5999","Vibe Barber College",64,0
"6000","Champ's Barber School",37,0
"6001","IGlobal University",255,0
"6002","East-West Healing Arts Institute",55,0
"6003","Standard Healthcare Services-College of Nursing",351,0
"6004","Philadelphia Technician Training",171,0
"6005","Grace International Beauty School",65,0
"6006","Alliance Computing Solutions",23,0
"6007","InterAmerican Technical Institute",123,0
"6008","Bay Area Medical Academy",143,0
"6009","Mind Body Institute",37,0
"6010","Parisian Spa Institute",12,0
"6011","Creative Touch Cosmetology School",27,0
"6012","LaBarberia Institute of Hair",125,0
"6013","Setting the Standard Barbering and Natural Hair Academy",23,0
"6014","Bos-Man's Barber College",49,0
"6015","Lawrence & Company College of Cosmetology",41,0
"6016","Alabama College of Osteopathic Medicine",608,0
"6017","High Desert Medical College",631,0
"6018","Paul Mitchell the School-Schenectady",157,0
"6019","Beyond Measure Barbering Institute",40,0
"6020","Beauty Anatomy Institute of Cosmetology and Wellness",46,0
"6021","Barber Institute of Texas",6,0
"6022","Jupiter Beauty Academy",193,0
"6023","MedQuest College",343,0
"6024","First Coast Barber Academy",31,0
"6025","Debutantes School of Cosmetology and Nail Technology",67,0
"6026","Paul Mitchell The School-Farmington Hills",69,1
"6027","Paul Mitchell the School-Merrillville",74,0
"6028","Paul Mitchell the School-Lansing",51,0
"6029","Ricci's Academy of Cosmetology",96,0
"6030","Yahweh Beauty Academy",34,0
"6031","Preparing People Barber Styling College",75,0
"6032","Arizona School of Integrative Studies",206,1
"6033","Lee Professional Institute",15,0
"6034","Park Place Premier Barber School",35,0
"6035","The Salon Professional Academy-San Jose",146,0
"6036","Tri-Community Adult Education",286,0
"6037","Jolie Health and Beauty Academy-Turnersville",57,1
"6038","Ross Medical Education Center-Owensboro",58,0
"6039","Ross Medical Education Center-Evansville",111,0
"6040","Ross Medical Education Center-Johnson City",134,0
"6041","North-West College-Santa Ana",300,0
"6042","North-West College-Long Beach",389,0
"6043","Branford Hall Career Institute-Amityville",252,0
"6044","Taylor Andrews Academy-Orem",136,0
"6045","Ogle School Hair Skin Nails-Stafford",242,0
"6046","University of Phoenix-Arizona",103975,2
"6047","University of Phoenix-California",9832,4
"6048","University of Phoenix-Colorado",261,1
"6049","University of Phoenix-Florida",699,1
"6050","University of Phoenix-Georgia",470,0
"6051","University of Phoenix-Louisiana",56,1
"6052","University of Phoenix-Michigan",158,1
"6053","University of Phoenix-Nevada",554,0
"6054","University of Phoenix-North Carolina",157,0
"6055","University of Phoenix-Tennessee",204,0
"6056","University of Phoenix-Texas",1600,2
"6057","University of Phoenix-Virginia",295,0
"6058","University of Phoenix-Pennsylvania",143,0
"6059","Tint School of Makeup & Cosmetology-Seattle",74,0
"6060","CEM College-Mayaguez",212,0
"6061","Rabbinical College Ohr Yisroel",116,0
"6062","Aveda Institute-Phoenix",154,0
"6063","University of North Texas at Dallas",3509,0
"6064","Dermal Science International Aesthetics and Nail Academy",75,0
"6065","BridgeValley Community & Technical College",1939,0
"6066","Northwest College-Medford",91,0
"6067","Virginia College-Fort Pierce",273,0
"6068","Houston Training Schools-Gessner",119,1
"6069","Empire Beauty School-Buffalo",75,0
"6070","Paul Mitchell the School-Toledo",165,1
"6071","Georgia Military College",8595,2
"6072","New Horizons Medical Institute-Winder",95,0
"6073","SAE Institute of Technology-Chicago",189,2
"6074","Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology",110,0
"6075","Fountain of Youth Academy of Cosmetology",36,0
"6076","California College San Diego",875,0
"6077","West Coast University-Miami",687,0
"6078","National American University-Harold D. Buckingham Graduate School",511,0
"6079","All Beauty College",25,2
"6080","Aparicio-Levy Technical College",261,0
"6081","Fred D. Learey Technical College",122,0
"6082","The Vocational Nursing Institute Inc",9,0
"6083","Hollywood Institute of Beauty Careers-West Palm Beach",163,0
"6084","Hollywood Institute of Beauty Careers-Casselberry",242,0
"6085","Empire Beauty School-Cheltenham",106,0
"6086","High Tech High Graduate School of Education",26,0
"6087","Coachella Valley Beauty College-Beaumont",40,0
"6088","Dewey University-Mayaguez",27,0
"6089","Coastal Pines Technical College",3053,0
"6090","Studio Beauty School",52,0
"6091","Latin Beauty Academy",105,0
"6092","Associated Barber College of San Diego",75,0
"6093","ABCO Technology",50,0
"6094","International Hair and Barber Academy",13,0
"6095","University of Texas Health Science Center at Tyler",35,1
"6096","Infinity College",102,0
"6097","Universal Healthcare Careers College",70,0
"6098","MKG Beauty & Business",114,0
"6099","New Beginnings Beauty Academy",17,1
"6100","Dolce LLC The Academy",45,0
"6101","River Valley School of Massage",15,0
"6102","The Beauty School",21,0
"6103","Atlantis University",367,0
"6104","Westchester School for Dental Assistant",66,0
"6105","K & G 5 Star Barber College",21,0
"6106","Studio Incamminati",36,0
"6107","Salon Boutique Academy",132,0
"6108","The Recording Conservatory of Austin",43,0
"6109","VH Barber & Styling Academy",5,0
"6110","Bet Medrash Gadol Ateret Torah",93,0
"6111","Yeshiva Gedola Ohr Yisrael",39,0
"6112","Yeshiva Sholom Shachna",105,0
"6113","GDS Institute",51,0
"6114","Professional Academy of Cosmetology",8,0
"6115","Theatre of Arts",53,0
"6116","Westchester College of Nursing & Allied Health",44,0
"6117","School District of Indian River County-Technical Center for Career and Adult Education",28,0
"6118","American College of Barbering",80,0
"6119","Beth Medrash Meor Yitzchok",129,0
"6120","Mingo Extended Learning Center",43,0
"6121","San Ignacio University",275,0
"6122","ZMS The Academy",38,0
"6123","Valor Christian College",267,0
"6124","Bethany Global University",312,0
"6125","Bella Academy of Cosmetology",25,0
"6126","Princess Beauty School",22,0
"6127","HVAC Technical Institute",147,0
"6128","Unilatina International College",76,0
"6129","San Francisco Film School",14,0
"6130","Center for Ultrasound Research & Education",37,0
"6131","Culinary Tech Center",110,0
"6132","Randolph Technical Center",20,0
"6133","AMG School of Licensed Practical Nursing",163,0
"6134","Saint Michael College of Allied Health",47,0
"6135","Presidio Graduate School",100,0
"6136","Sandra Academy of Salon Services, Inc",64,0
"6137","Wright Graduate University for the Realization of Human Potential",22,0
"6138","California Jazz Conservatory",61,0
"6139","California Barber and Beauty College",53,0
"6140","Laredo CHI Academy Beauty School",57,0
"6141","Florida International Training Institute",85,0
"6142","The Training Domain",4,0
"6143","Gould's Academy",102,0
"6144","Aviation Institute of Maintenance",168,0
"6145","Paul Mitchell the School-Tulsa",190,0
"6146","PPG Technical College",414,0
"6147","Wave Leadership College",67,0
"6148","Academy of Professional Cosmetology",67,0
"6149","Empire Beauty School-Northlake",98,0
"6150","Ross Medical Education Center-Huntsville",159,0
"6151","Ross Medical Education Center-Knoxville",65,0
"6152","Jolie Health & Beauty Academy-Cherry Hill",118,1
"6153","Ross Medical Education Center-Muncie",88,0
"6154","Cortiva Institute-Florida-Texas Center for Massage Therapy",231,0
"6155","Tulsa Welding School-Houston",1177,4
"6156","Pima Medical Institute-El Paso",470,0
"6157","Pima Medical Institute-Phoenix",641,0
"6158","Kennesaw State University",35846,38
"6159","Wisconsin Academy a Paul Mitchell Partner Group-PMTS Lincoln",58,0
"6160","All Beauty College",21,2
"6161","Eastern Suffolk BOCES",11,0
"6162","Eastern Suffolk BOCES",NA,0
"6163","Milligan College",1171,1
"6164","Chamberlain University-Nevada",293,0
"6165","Chamberlain University-Michigan",290,0
"6166","Chamberlain University-New Jersey",511,0
"6167","Hussian College-Relativity Campus California",200,0
"6168","Paul Mitchell the School-Madison",51,0
"6169","The University of Tennessee-Health Science Center",3199,2
"6170","Unitech Training Academy-Metairie",77,0
"6171","Wade Gordon Hairdressing Academy-Lubbock",52,0
"6172","Protege Academy",44,0
"6173","Emory University-Oxford College",979,7
"6174","The Chicago School of Professional Psychology at Xavier University of Louisiana",26,9
"6175","Southern Regional Technical College",3884,1
"6176","Texas College of Cosmetology-Lubbock",58,0
"6177","University of Arizona-South",465,0
"6178","Fortis College-Cuyahoga Falls",451,0
"6179","Sunstate Academy-Jones Technical Institute",258,0
"6180","Texas State Technical College",12717,36
"6181","Aveda Institute Portland-Vancouver Campus",129,0
"6182","Arizona College-Las Vegas",161,1
"6183","Florida Career College",650,0
"6184","Florida Career College-West Palm Beach",683,0
"6185","Florida Career College-Hialeah",679,2
"6186","Florida Career College-Lauderdale Lakes",785,0
"6187","Florida Career College-Tampa",457,0
"6188","Florida Career College-Jacksonville",439,2
"6189","Florida Career College-Boynton Beach",426,0
"6190","Florida Career College-Margate",521,1
"6191","Florida Career College-Orlando",942,4
"6192","Florida Career College-UEI College-Phoenix",379,0
"6193","Florida Career College-Houston Campus",491,0
"6194","Aveda Institute-Madison",75,0
"6195","Husson University",3648,2
"6196","Tricoci University of Beauty Culture-Elgin",129,1
"6197","Concorde Career College-Southaven",335,0
"6198","Universal Technical Institute-Southern California",947,0
"6199","Northwest University-College of Adult and Professional Studies",1116,3
"6200","Celebrity Barber School",14,0
"6201","California Institute of Advanced Management",33,0
"6202","Academy of Interactive Entertainment",61,0
"6203","The Temple Annapolis-A Paul Mitchell Partner School",176,0
"6204","Yeshiva Zichron Aryeh",24,0
"6205","Butte County Regional Occupational Program",75,0
"6206","Arclabs",217,1
"6207","Top of the Line Barber College",18,0
"6208","Midfield Institute of Cosmetology",15,0
"6209","American Institute of Alternative Medicine",37,0
"6210","Felbry College School of Nursing",160,4
"6211","Beyond The Basics School of Cosmetology",22,0
"6212","Regional Center for Border Health",28,0
"6213","B-Unique Beauty and Barber Academy",41,0
"6214","Kentucky Horseshoeing School",25,0
"6215","Tri-State Barber College",18,0
"6216","Image Maker Beauty Institute",55,0
"6217","Dalton Institute of Esthetics and Cosmetology",23,0
"6218","Alhambra Medical University",146,0
"6219","Central Yeshiva Beth Joseph",40,0
"6220","Garden State Science and Technology Institute",49,0
"6221","Barber Tech Academy",50,0
"6222","Abraham Lincoln University",197,0
"6223","Construction Training Center",31,0
"6224","Med Academy",48,0
"6225","Yeshivas Maharit D'Satmar",99,0
"6226","Natural Images Beauty College",47,0
"6227","Textures Institute of Cosmetology",20,0
"6228","Learning Bridge Career Institute",48,0
"6229","PiBerry Institute",43,0
"6230","DMost Beauty & Body Institute",10,2
"6231","Academy of Cosmetology and Esthetics",27,0
"6232","Ea La Mar's Cosmetology & Barber College",31,0
"6233","Regina Webb Academy",30,0
"6234","DeHart Technical School",81,0
"6235","Medical Career & Technical College",124,0
"6236","Center for Neurosomatic Studies",21,0
"6237","Lebanon College of Cosmetology",14,0
"6238","Focus Personal Training Institute",70,0
"6239","Hair Academy School of Barbering & Beauty",33,0
"6240","Fosbre Academy of Hair Design",100,0
"6241","National Personal Training Institute",67,0
"6242","Mission Beauty Institute",31,0
"6243","Elim Bible Institute and College",97,0
"6244","Beth Medrash of Asbury Park",47,0
"6245","Hope College of Arts and Sciences",120,0
"6246","Ferrara's Beauty School",73,0
"6247","Yeshiva Gedolah Shaarei Shmuel",81,0
"6248","Premier Barber Institute",46,0
"6249","International Beauty Education Center",32,0
"6250","Ultimate Touch Barber College",39,0
"6251","Hoss Lee Academy",56,0
"6252","Indiana Massage College",95,0
"6253","Kenny's Academy of Barbering",81,0
"6254","Seattle Film Institute",113,0
"6255","Indiana Wesleyan University-National & Global",10778,1
"6256","University of Saint Katherine",137,0
"6257","South Dade Technical College-South Dade Skills Center Campus",265,0
"6258","Wongu University of Oriental Medicine",35,0
"6259","Alabama School of Nail Technology & Cosmetology",25,0
"6260","International Diving Institute",73,0
"6261","Tulsa Technology Center",4116,1
"6262","Ross Medical Education Center-Elyria",133,0
"6263","Ross Medical Education Center-Lafayette",139,0
"6264","Ross Medical Education Center-Midland",72,0
"6265","Paul Mitchell the School-Webster",157,0
"6266","Paul Mitchell the School-Nampa",92,0
"6267","House of Heavilin Beauty College-Academy of Beauty Professionals",31,0
"6268","House of Heavilin Beauty College-Academy of Beauty Professionals",38,0
"6269","House of Heavilin Beauty College-Academy of Beauty Professionals",36,0
"6270","Kenneth Shuler School of Cosmetology-Goose Creek",126,0
"6271","Clovis Community College",7420,0
"6272","Boca Beauty Academy-Parkland",111,0
"6273","American Beauty Academy-West Valley Campus",18,0
"6274","Caribbean Aviation Training Institute Inc",222,0
"6275","The College of Health Care Professions-McAllen Campus",384,0
"6276","Chamberlain University-North Carolina",135,0
"6277","Chamberlain University-California",142,0
"6278","Spartan College of Aeronautics and Technology",98,4
"6279","Harris School of Business-Danbury",121,0
"6280","Institute of Beauty Occupations and Technology Course-San Sebastian",54,0
"6281","Milan Institute-Bakersfield West",44,0
"6282","Kaplan University-Indianapolis",603,0
"6283","Kaplan University-Milwaukee",346,0
"6284","Pima Medical Institute-Dillon",37,0
"6285","Arthur's Beauty College-Jonesboro",65,0
"6286","West Coast University-Center for Graduate Studies",469,0
