"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Montgomery County Community College","NULL","NULL","NULL","0.5853913771","0.0969024697","5610","14850","www.mc3.edu","Mid East","PA","Blue Bell","Suburb","Public","Associate degree","Rank over 230",1.1,"41100","37600","46800","0.678",2
"Montreat College","0.6137","21","960","0.4946466809","0.0920770878","24940","24940","www.montreat.edu","Southeast","NC","Montreat","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.54,"42500","36300","52400","0.686",0
"Montserrat College of Art","NULL","NULL","NULL","0.7248677249","PrivacySuppressed","30800","30800","https://www.montserrat.edu/","New England","MA","Beverly","Suburb","Private nonprofit","Bachelor's degree","Rank over 230",1.08,"28800","25300","35000","0.605",0
"Monty Tech","0.9783","NULL","NULL","PrivacySuppressed","0.2686567164","NULL","NULL","www.montytech.net","New England","MA","Fitchburg","Suburb","Public","Certificate degree","Rank over 230",1.39,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moody Bible Institute","0.6176","NULL","NULL","0.450229709","0.2465543645","12630","12630","www.moody.edu","Great Lakes","IL","Chicago","City","Private nonprofit","Graduate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",10
"Moore Career College","NULL","NULL","NULL","0.1777777778","0.1722222222","NULL","NULL","moorecareercollege.edu","Southeast","LA","Baton Rouge","Suburb","Private for profit","Certificate degree","Rank over 230",1.97,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moore College of Art and Design","0.5714","NULL","NULL","PrivacySuppressed","PrivacySuppressed","38301","38301","www.moore.edu","Mid East","PA","Philadelphia","City","Private nonprofit","Graduate degree","Rank over 230",1.71,"36600","PrivacySuppressed","PrivacySuppressed","0.642",0
"Moore Norman Technology Center","0.2129","NULL","NULL","0.5806451613","0.2741935484","NULL","NULL","www.mntc.edu/","Southwest","OK","Norman","Rural","Public","Certificate degree","Rank over 230",1.3,"35200","34600","36500","0.526",0
"Moorpark College","NULL","NULL","NULL","0.5490196078","0.0606060606","1388","7050","www.moorparkcollege.edu/index.shtml","Far West","CA","Moorpark","Suburb","Public","Associate degree","Rank over 230",1.43,"47000","44000","51800","0.626",1
"Moraine Park Technical College","NULL","NULL","NULL","0.6957175056","0.1990984222","4340","6295","www.morainepark.edu","Great Lakes","WI","Fond du Lac","City","Public","Associate degree","Rank over 230",0.73,"36100","32100","45100","0.671",0
"Moraine Valley Community College","NULL","NULL","NULL","0.5656728445","0.0656728445","4176","10686","www.morainevalley.edu","Great Lakes","IL","Palos Hills","Suburb","Public","Associate degree","Rank over 230",2.19,"38200","34000","45700","0.621",1
"Moravian College","0.7982","23","1021","0.5936329588","0.0262172285","40287","40287","www.moravian.edu","Mid East","PA","Bethlehem","City","Private nonprofit","Graduate degree","Rank over 230",0.89,"55100","49100","64600","0.825",16
"More Tech Institute","NULL","NULL","NULL","0.9024390244","0.2195121951","NULL","NULL","MORETECHINSTITUTE.EDU","Southeast","FL","Hialeah","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Morehead State University","0.8556","23","1066","0.6175595238","0.0866071429","8496","12744","www.moreheadstate.edu","Southeast","KY","Morehead","Town","Public","Graduate degree","Rank over 230",2.06,"37000","32300","42800","0.615",9
"Morehouse College","0.6607","22","994","PrivacySuppressed","PrivacySuppressed","26742","26742","www.morehouse.edu","Southeast","GA","Atlanta","City","Private nonprofit","Bachelor's degree","Rank over 230",2.92,"49000","PrivacySuppressed","PrivacySuppressed","0.706",55
"Morehouse School of Medicine","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.msm.edu","Southeast","GA","Atlanta","City","Private nonprofit","Graduate degree","Rank over 230",2.41,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moreno Valley College","NULL","NULL","NULL","0.6408566722","0.1364085667","1416","7746","www.mvc.edu/","Far West","CA","Moreno Valley","Suburb","Public","Associate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Morgan Community College","NULL","NULL","NULL","0.6871035941","0.2684989429","3494","13688","www.morgancc.edu","Rocky Mountains","CO","Fort  Morgan","Town","Public","Associate degree","Rank over 230",0.51,"34000","28900","45900","0.557",0
"Morgan State University","0.603","18","894","0.5864635011","0.0304748405","7636","17504","www.morgan.edu","Mid East","MD","Baltimore","City","Public","Graduate degree","Rank over 230",2.65,"42600","41400","44000","0.709",16
"Morgantown Beauty College Inc","NULL","NULL","NULL","PrivacySuppressed","0.1379310345","NULL","NULL","www.MorgantownBeautyCollege.edu","Southeast","WV","Morgantown","City","Private for profit","Certificate degree","Rank over 230",2.16,"23800","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Morningside College","0.5693","23","1070","0.5776699029","0.1128640777","29094","29094","https://www.morningside.edu","Plains","IA","Sioux City","City","Private nonprofit","Graduate degree","Rank over 230",0.72,"47900","41800","55100","0.823",1
"Morris College","NULL","NULL","NULL","0.5487603306","0.0280991736","13045","13045","www.morris.edu","Southeast","SC","Sumter","City","Private nonprofit","Bachelor's degree","Rank over 230",2.71,"25600","23200","28900","0.448",0
"Morris County Vocational School District","0.7556","NULL","NULL","0.5303030303","0.196969697","NULL","NULL","www.mcvts.org/","Mid East","NJ","Denville","Suburb","Public","Certificate degree","Rank over 230",0.85,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Morrison Institute of Technology","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","15791","15791","www.morrisontech.edu","Great Lakes","IL","Morrison","Town","Private nonprofit","Associate degree","Rank over 230",1.73,"55700","PrivacySuppressed","PrivacySuppressed","0.825",0
"Morrisville State College","0.7735","20","881","0.4966793169","0.0370018975","8023","18073","www.morrisville.edu","Mid East","NY","Morrisville","Rural","Public","Bachelor's degree","Rank over 230",2.38,"38400","31200","43000","0.633",9
"Morthland College","0.5403","20","935","0.1212871287","PrivacySuppressed","14780","14780","morthland.edu","Great Lakes","IL","West Frankfort","Town","Private nonprofit","Bachelor's degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",NA
"Morton College","NULL","NULL","NULL","0.5574603175","0.0476190476","3892","10036","www.morton.edu","Great Lakes","IL","Cicero","Suburb","Public","Associate degree","Rank over 230",3.38,"37100","33100","44200","0.611",1
"Motlow State Community College","NULL","NULL","NULL","0.6238451386","0.0655521337","4051","11971","www.mscc.edu","Southeast","TN","Tullahoma","Rural","Public","Associate degree","Rank over 230",1.51,"31400","28200","38200","0.565",0
"Motoring Technical Training Institute","0.9364","NULL","NULL","0.3462783172","0.1472491909","NULL","NULL","www.mtti.edu","New England","MA","Seekonk","Suburb","Private for profit","Certificate degree","Rank over 230",2.29,"34600","PrivacySuppressed","PrivacySuppressed","0.571",0
"MotoRing Technical Training Institute","0.8571","NULL","NULL","0.3462783172","0.1472491909","NULL","NULL","mtti.edu","New England","RI","East Providence","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"34600","PrivacySuppressed","PrivacySuppressed","0.571",0
"Mott Community College","NULL","NULL","NULL","0.5747493163","0.0916134913","3785","6931","www.mcc.edu","Great Lakes","MI","Flint","City","Public","Associate degree","Rank over 230",3.22,"31300","28600","36200","0.494",5
"Mount Aloysius College","0.5858","20","946","0.7487437186","0.074120603","21850","21850","www.mtaloy.edu/","Mid East","PA","Cresson","Town","Private nonprofit","Graduate degree","Rank over 230",2.02,"43200","39800","51500","0.739",2
"Mount Angel Seminary","1","NULL","NULL","PrivacySuppressed","PrivacySuppressed","20784","20784","www.mountangelabbey.org/seminary","Far West","OR","Saint Benedict","Town","Private nonprofit","Graduate degree","Rank over 230",2.44,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mount Carmel College of Nursing","0.7897","21","990","0.8932714617","0.1345707657","12673","12673","www.mccn.edu","Great Lakes","OH","Columbus","City","Private nonprofit","Graduate degree","Rank over 230",0.74,"58100","PrivacySuppressed","PrivacySuppressed","0.885",4
"Mount Holyoke College","0.5219","NULL","NULL","PrivacySuppressed","0.0164744646","45866","45866","www.mtholyoke.edu","New England","MA","South Hadley","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.15,"53900","PrivacySuppressed","PrivacySuppressed","0.825",5
"Mount Ida College","0.6834","NULL","NULL","0.705399061","0.0223004695","33820","33820","www.mountida.edu","New England","MA","Newton","City","Private nonprofit","Graduate degree","Rank over 230",1.12,"43600","41300","48400","0.734",NA
"Mount Marty College","0.6469","21","990","0.6840390879","0.0879478827","25380","25380","www.mtmc.edu","Plains","SD","Yankton","Town","Private nonprofit","Graduate degree","Rank over 230",0.6,"39400","35900","50600","0.717",1
"Mount Mary University","0.5631","21","970","PrivacySuppressed","0.0512249443","28380","28380","www.mtmary.edu/","Great Lakes","WI","Milwaukee","City","Private nonprofit","Graduate degree","Rank over 230",2.14,"43000","PrivacySuppressed","PrivacySuppressed","0.757",2
"Mount Mercy University","0.6188","21","990","0.7172413793","0.1505747126","29696","29696","www.mtmercy.edu","Plains","IA","Cedar Rapids","City","Private nonprofit","Graduate degree","Rank over 230",0.75,"48400","45800","55300","0.843",9
"Mount Saint Joseph University","0.8805","22","1011","0.5670816044","0.0802213001","28300","28300","www.msj.edu","Great Lakes","OH","Cincinnati","Suburb","Private nonprofit","Graduate degree","Rank over 230",0.91,"44600","41800","49400","0.791",3
"Mount Saint Mary College","0.8989","22","991","0.7261029412","0.0542279412","29048","29048","www.msmc.edu","Mid East","NY","Newburgh","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.58,"51700","50900","54000","0.785",18
"Mount Saint Mary's University","0.8592","20","923","0.9312461633","0.0847145488","37722","37722","https://www.msmu.edu","Far West","CA","Los Angeles","City","Private nonprofit","Graduate degree","Rank over 230",3.16,"63500","61300","88600","0.798",4
"Mount St. Mary's University","0.6153","22","1043","0.5489949749","0.0603015075","39000","39000","www.msmary.edu","Mid East","MD","Emmitsburg","Town","Private nonprofit","Graduate degree","Rank over 230",0.72,"56600","51800","64900","0.85",8
"Mount Vernon Nazarene University","0.7422","23","1050","0.64453524","0.1583248212","26950","26950","www.mvnu.edu","Great Lakes","OH","Mount Vernon","Town","Private nonprofit","Graduate degree","Rank over 230",1,"50000","43900","58100","0.749",4
"Mount Wachusett Community College","NULL","NULL","NULL","0.6314636284","0.1187554777","5188","10108","MWCC.EDU","New England","MA","Gardner","Rural","Public","Associate degree","Rank over 230",1.48,"36400","34400","40400","0.615",2
"Mountain Empire Community College","NULL","NULL","NULL","0.5633270321","0.1833648393","4478","10376","www.mecc.edu","Southeast","VA","Big Stone Gap","Town","Public","Associate degree","Rank over 230",1.7,"28300","22800","36600","0.445",0
"Mountain State College","NULL","NULL","NULL","0.7941176471","0.2941176471","8215","8215","www.msc.edu","Southeast","WV","Parkersburg","City","Private for profit","Associate degree","Rank over 230",2.19,"19200","PrivacySuppressed","PrivacySuppressed","0.179",0
"Mountain State School of Massage","NULL","NULL","NULL","0.6851851852","0.2037037037","NULL","NULL","www.mtnstmassage.com","Southeast","WV","Charleston","City","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mountain View College","NULL","NULL","NULL","0.5981764897","0.0882448714","1770","5220","www.dcccd.edu","Southwest","TX","Dallas","City","Public","Associate degree","Rank over 230",2.64,"34000","32800","36100","0.614",3
"Mountainland Technical College","NULL","NULL","NULL","0.5971428571","0.4142857143","NULL","NULL","https://mtec.edu/","Rocky Mountains","UT","Lehi","Suburb","Public","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mountwest Community and Technical College","NULL","NULL","NULL","0.5696202532","0.1969057665","3888","9672","www.mctc.edu","Southeast","WV","Huntington","Suburb","Public","Associate degree","Rank over 230",1.79,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mr Bela's School of Cosmetology Inc","NULL","NULL","NULL","PrivacySuppressed","0.2325581395","NULL","NULL","www.mrbelas.com","Great Lakes","MI","Warren","City","Private for profit","Certificate degree","Rank over 230",2.24,"22600","PrivacySuppressed","PrivacySuppressed","0.311",NA
"Mr John's School of Cosmetology & Nails-Jacksonville","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","mrjohns.com","Great Lakes","IL","Jacksonville","Town","Private for profit","Certificate degree","Rank over 230",1.85,"20000","PrivacySuppressed","PrivacySuppressed","0.259",0
"Mr John's School of Cosmetology Esthetics & Nails-Decatur","NULL","NULL","NULL","PrivacySuppressed","0.1595744681","NULL","NULL","www.mrjohns.com","Great Lakes","IL","Decatur","City","Private for profit","Certificate degree","Rank over 230",2.42,"20900","PrivacySuppressed","PrivacySuppressed","0.298",0
"Mr Leon's School of Hair Design-Lewiston","NULL","NULL","NULL","PrivacySuppressed","0.2535211268","NULL","NULL","mrleons.com","Rocky Mountains","ID","Lewiston","City","Private for profit","Certificate degree","Rank over 230",2.35,"18200","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mr Leon's School of Hair Design-Moscow","NULL","NULL","NULL","PrivacySuppressed","0.2535211268","NULL","NULL","mrleons.com","Rocky Mountains","ID","Moscow","Town","Private for profit","Certificate degree","Rank over 230",2.35,"18200","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mr Wayne's School of Unisex Hair Design","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.misterwaynes.com","Southeast","TN","Cookeville","Town","Private for profit","Certificate degree","Rank over 230",1.35,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mt Hood Community College","NULL","NULL","NULL","0.5749721293","0.1415830546","5313","10398","www.mhcc.edu","Far West","OR","Gresham","Suburb","Public","Associate degree","Rank over 230",2.39,"38100","35100","42500","0.626",16
"Mt San Antonio College","NULL","NULL","NULL","0.5370350969","0.0676794133","1348","8659","www.mtsac.edu","Far West","CA","Walnut","Suburb","Public","Associate degree","Rank over 230",2.76,"41400","38000","46000","0.633",16
